[2025-10-03 10:12:14] Process: UPLOAD_TEMPLATE | Latency: 0.011 ms | Size: 0 bytes | Throughput: 0.000 KB/s | Jitter: 0.001 ms | Packet Loss: 1 | Total Packet: 102
[2025-10-03 10:12:15] Process: UPLOAD_TEMPLATE | Latency: 0.012 ms | Size: 0 bytes | Throughput: 0.000 KB/s | Jitter: 0.001 ms | Packet Loss: 1 | Total Packet: 103
[2025-10-03 10:12:15] Process: UPLOAD_TEMPLATE | Latency: 0.009 ms | Size: 0 bytes | Throughput: 0.000 KB/s | Jitter: 0.003 ms | Packet Loss: 1 | Total Packet: 104
[2025-10-03 10:12:16] Process: UPLOAD_TEMPLATE | Latency: 0.004 ms | Size: 0 bytes | Throughput: 0.000 KB/s | Jitter: 0.005 ms | Packet Loss: 1 | Total Packet: 105
[2025-10-03 10:12:16] Process: UPLOAD_TEMPLATE | Latency: 0.012 ms | Size: 0 bytes | Throughput: 0.000 KB/s | Jitter: 0.008 ms | Packet Loss: 1 | Total Packet: 106
[2025-10-03 10:12:17] Process: UPLOAD_TEMPLATE | Latency: 0.010 ms | Size: 0 bytes | Throughput: 0.000 KB/s | Jitter: 0.002 ms | Packet Loss: 1 | Total Packet: 107
[2025-10-03 10:12:17] Process: UPLOAD_TEMPLATE | Latency: 0.014 ms | Size: 0 bytes | Throughput: 0.000 KB/s | Jitter: 0.004 ms | Packet Loss: 1 | Total Packet: 108
[2025-10-03 10:12:18] Process: UPLOAD_TEMPLATE | Latency: 0.006 ms | Size: 0 bytes | Throughput: 0.000 KB/s | Jitter: 0.008 ms | Packet Loss: 1 | Total Packet: 109
[2025-10-03 10:12:18] Process: UPLOAD_TEMPLATE | Latency: 0.018 ms | Size: 0 bytes | Throughput: 0.000 KB/s | Jitter: 0.012 ms | Packet Loss: 1 | Total Packet: 110
[2025-10-03 10:12:19] Process: UPLOAD_TEMPLATE | Latency: 0.007 ms | Size: 0 bytes | Throughput: 0.000 KB/s | Jitter: 0.011 ms | Packet Loss: 1 | Total Packet: 111
[2025-10-03 10:12:19] Process: UPLOAD_TEMPLATE | Latency: 0.012 ms | Size: 0 bytes | Throughput: 0.000 KB/s | Jitter: 0.005 ms | Packet Loss: 1 | Total Packet: 112
[2025-10-03 10:12:20] Process: UPLOAD_TEMPLATE | Latency: 0.005 ms | Size: 0 bytes | Throughput: 0.000 KB/s | Jitter: 0.007 ms | Packet Loss: 1 | Total Packet: 113
[2025-10-03 10:12:20] Process: UPLOAD_TEMPLATE | Latency: 0.011 ms | Size: 0 bytes | Throughput: 0.000 KB/s | Jitter: 0.006 ms | Packet Loss: 1 | Total Packet: 114
[2025-10-03 10:12:21] Process: UPLOAD_TEMPLATE | Latency: 0.010 ms | Size: 0 bytes | Throughput: 0.000 KB/s | Jitter: 0.001 ms | Packet Loss: 1 | Total Packet: 115
[2025-10-03 10:12:21] Process: UPLOAD_TEMPLATE | Latency: 0.012 ms | Size: 0 bytes | Throughput: 0.000 KB/s | Jitter: 0.002 ms | Packet Loss: 1 | Total Packet: 116
